bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,1,0,0,,47,47,amr,amar1274,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/amr"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/5170"", ""label"": ""Harakmbut""}, {""url"": ""https://en.wikipedia.org/wiki/Amarakaeri_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/amar1274"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_amk"", ""label"": ""Amarakaeri""}, {""url"": ""https://www.wikidata.org/entity/Q35128"", ""label"": null}], ""meds"": [[""110731"", ""long_grammar"", 1984, 548, ""Heinrich Albert Helberg Ch\u00e1vez 1984""], [""145215"", ""grammar"", 1967, 20, ""na [1967]""], [""95079"", ""grammar"", 1963, 7, ""Raymond E. Hart 1963""], [""139351"", ""wordlist_or_less"", 1959, 1, ""Villarejo, Avencio 1959""]]}",-12.4931,language,-70.5533,South America,,Amarakaeri,('Kisambaeri [kisa1267]':1)'Amarakaeri [amar1274][amr]-l-':1,516
False,Spoken L1 Language,0,0,0,,138,4120,qva,ambo1252,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/qva"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/10852"", ""label"": ""Chiquian-Bolognesi and Cajatambo Quechua""}, {""url"": ""https://www.wikidata.org/entity/Q12953835"", ""label"": null}], ""meds"": [[""82941"", ""grammar_sketch"", 2005, 96, ""Ralph Toliver 2005""], [""108830"", ""phonology_or_text"", 1998, 129, ""Albino Mendoza, Lorenzo and Toliver, Ralph and Toliver, Marilynn 1998""], [""31710"", ""phonology_or_text"", 1988, 90, ""na 1988""], [""141874"", ""wordlist_or_less"", 1987, 59, ""na 1987""]]}",-10.5138,language,-76.1135,South America,,Ambo-Pasco Quechua,'Ambo-Pasco Quechua [ambo1252][qva]-l-':1,6165
False,Spoken L1 Language,0,0,0,,32,10458,adw,amun1246,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q12626847"", ""label"": null}, {""url"": ""https://phoible.org/languages/amun1246"", ""label"": null}], ""meds"": [[""309049"", ""wordlist_or_less"", 2012, 60, ""Betts, LaVera 2012""], [""148033"", ""wordlist_or_less"", 1959, 23, ""Hugo, Vitor 1959""]]}",-9.04023,language,-62.3064,South America,,Amundava,'Amundava [amun1246][adw]-l-':1,13358
False,Spoken L1 Language,0,0,0,,32,7748,aan,anam1249,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1570"", ""label"": ""Anamb\u00e9 of Cairar\u00ed""}, {""url"": ""https://www.wikidata.org/entity/Q3507873"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Anamb%C3%A9_language"", ""label"": null}], ""meds"": [[""28004"", ""grammar"", 2005, 219, ""Juli\u00e3o, Maria Risol\u00eata Silva 2005""], [""53108"", ""grammar_sketch"", 1993, 0, ""Juli\u00e3o, Maria Risoleta S. 1993""], [""26063"", ""wordlist_or_less"", 1985, 17, ""Lux Vidal 1985""], [""45723"", ""wordlist_or_less"", 1969, 11, ""Expedito Arnaud and Eduardo Galv\u00e3o 1969""], [""155672"", ""wordlist_or_less"", 1948, 6, ""Nimuendaj\u00fa, Curt 1948""]]}",-2.71119,language,-49.303,South America,,Anambé,'Anambé [anam1249][aan]-l-':1,10487
False,Spoken L1 Language,0,0,0,,310,3025,NOCODE_Anauya,anau1243,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q16828252"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Anauy%C3%A1_language"", ""label"": null}], ""meds"": [[""61736"", ""wordlist_or_less"", 2001, 12, ""Henri Ramirez 2001""], [""161469"", ""wordlist_or_less"", 1963, 1, ""\u010cestm\u00edr Loukotka 1963""]]}",1.480584,language,-65.413237,South America,,Anauyá,'Anauyá [anau1243]-l-':1,4672
False,Spoken L1 Language,0,0,0,,,,ana,anda1286,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q2846078"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Andaqui_language"", ""label"": null}], ""meds"": [[""8793"", ""phonology_or_text"", 1994, 30, ""Coronas Urz\u00faa, Gabriela 1994""], [""107625"", ""wordlist_or_less"", 1855, 22, ""Vergara i Vergara, Jos\u00e9 Maria and Evaristo Delgado 1855""]]}",2.74999,language,-76.0,South America,,Andaqui,'Andaqui [anda1286][ana]-l-':1,200
False,Spoken L1 Language,0,0,0,,78,583,NOCODE_Andoquero,ando1254,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""NOCODE_Andoquero"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""Andoquero, an extinct Huitotoan language attested with a vocabulary in **hh:hw:Martius:Brasiliens**, is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24.""}, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q16828359"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Andoquero_language"", ""label"": null}], ""meds"": [[""79048"", ""wordlist_or_less"", 1867, 3, ""von Martius, Carl Friedrich Philip 1867""]]}",-0.666992,language,-72.310867,South America,,Andoquero,'Andoquero [ando1254]-l-':1,2137
False,Spoken L1 Language,0,0,0,,230,2651,anb,ando1255,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1571"", ""label"": ""Andoa""}, {""url"": ""https://www.wikidata.org/entity/Q2846171"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Andoa_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/ando1255"", ""label"": null}], ""meds"": [[""15033"", ""phonology_or_text"", 1959, 0, ""Sargent, Mary and Peeke, M. Catherine 1959""], [""54084"", ""phonology_or_text"", 1952, 0, ""Peeke, Catherine 1952""], [""309231"", ""wordlist_or_less"", 1928, 36, ""Le\u00f3n, Agust\u00edn M. 1928, 1929""], [""321177"", ""wordlist_or_less"", 1788, 60, ""Veigl, Franciscus Xavier 1788, 1789""]]}",-3.29664,language,-76.6056,South America,,Andoa,'Andoa [ando1255][anb]-l-':1,4378
False,Spoken L1 Language,2,0,0,,,,ano,ando1256,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/676"", ""label"": ""Andoque""}, {""url"": ""https://www.wikidata.org/entity/Q2669225"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Andoque_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/ando1256"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_adk"", ""label"": ""Andoke""}], ""meds"": [[""120505"", ""long_grammar"", 1979, 350, ""Jon Landaburu 1979""], [""98888"", ""long_grammar"", 1976, 350, ""Landaburu, Jon 1976""], [""144127"", ""wordlist_or_less"", 1952, 13, ""Paul Rivet and Robert de Wavrin 1952""], [""54846"", ""wordlist_or_less"", 1862, 1, ""Latham, Robert Gordon 1862""]]}",-0.53751,language,-72.0869,South America,,Andoque,"('Andoke [ando1257]':1,'Urekena [urek1234]':1)'Andoque [ando1256][ano]-l-':1",106
False,Spoken L1 Language,0,0,0,,306,1096,aqt,anga1316,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1572"", ""label"": ""Angait\u00e9""}, {""url"": ""https://www.wikidata.org/entity/Q15736037"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Angait%C3%A9_language"", ""label"": null}], ""meds"": [[""92880"", ""wordlist_or_less"", 1900, 27, ""Boggiani, Guido 1900""], [""118417"", ""wordlist_or_less"", 1894, 1, ""Balzan, Luigi 1894""]]}",-22.85,language,-58.45,South America,,Angaité,'Angaité [anga1316][aqt]-l-':1,3013
